museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57689,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,M,16,May,1962
LSUMZ,57690,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,F,16,May,1962
LSUMZ,57691,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,F,16,May,1962
LSUMZ,57692,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,F,16,May,1962
LSUMZ,57693,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,F,16,May,1962
LSUMZ,57694,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,M,16,May,1962
LSUMZ,57695,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Cuay Grande, Ea. El Ceibo, Monte de San Tsidro",Argentina,Corrientes ,F,16,May,1962
LSUMZ,57808,Cyclarhis,gujanensis,,,,,,a,1.54,3.08,-27.582,-56.683,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,F,9,Nov,1962
LSUMZ,57799,Cyclarhis,gujanensis,,,,,,a,1.53,3.06,-27.582,-56.683,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,5,Nov,1962
LSUMZ,57813,Cyclarhis,gujanensis,,,,,,a,1.52,3.04,-27.582,-56.683,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,12,Nov,1961
LSUMZ,57803,Cyclarhis,gujanensis,,,,,,a,1.46,2.92,-27.466667,-58.833333,0,"Ituzaningo, Ea. Puerto Valle",Argentina,Corrientes ,M,7,Nov,1962
